"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"1","B","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.282246063610484,0.568163472075279,0.142958704232398
"2","B","B","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,-0.206366198725265,-0.575900391235685
"3","B","B","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.0138831786255862,0.220308098250915
"4","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163998073903803,0.318253593035569,0.0771277595658827
"5","B","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.163998073903803,0.353414029386622,0.0947079777414095
"6","B","NK","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.0379110844817353,-0.453761749632185
"7","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.163998073903803,0.242034649719245,0.0390182879077208
"8","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.16845511424353,-0.388489734751288
"9","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.255037635231371,0.340885326553808
"10","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.162245133931649,0.134060225404685
"11","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"12","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.177969662556593,0.304167623648806
"13","NK","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.305550266656137,0.568163472075279,0.436856869365708
"14","NK","B","CCL5","CCL5","CXCR3","CXCR3",0.168221778573787,-0.206366198725265,-0.0190722100757391
"15","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.0309329284318834,0.199716328154568
"16","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.51015907840825,0.318253593035569,0.414206335721909
"17","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.51015907840825,0.353414029386622,0.431786553897436
"18","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.0365998875790657,0.233482736160042
"19","NK","NK","CCL5","CCL5","CXCR3","CXCR3",0.168221778573787,0.0379110844817353,0.103066431527761
"20","NK","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,0.193178062363533,0.311771823552276
"21","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.412572643217306,0.177405475434589,0.294989059325947
"22","NK","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",0.51015907840825,0.242034649719245,0.376096864063747
"23","NK","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.168221778573787,0.16845511424353,0.168338446408658
"24","CD8 T","B","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,-0.162245133931649,-0.113245002034301
"25","CD8 T","B","IFNG","IFNG","IFNGR2","IFNGR2",-0.0642448701369524,0.177969662556593,0.0568623962098205
"26","CD8 T","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",-0.0233042030456539,0.568163472075279,0.272429634514813
"27","CD8 T","B","CCL5","CCL5","CXCR3","CXCR3",0.777212805172319,-0.206366198725265,0.285423303223527
"28","CD8 T","NK","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,-0.0309329284318834,-0.0475888992844179
"29","CD8 T","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.346161004504446,0.318253593035569,-0.0139537057344388
"30","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.346161004504446,0.353414029386622,0.00362651244108805
"31","CD8 T","NK","IFNG","IFNG","IFNGR2","IFNGR2",-0.0642448701369524,0.0365998875790657,-0.0138224912789433
"32","CD8 T","NK","IL23A","IL23A","IL12RB1","IL12RB1",0.355876832457465,0.377918787377281,0.366897809917373
"33","CD8 T","NK","CCL5","CCL5","CXCR3","CXCR3",0.777212805172319,0.0379110844817353,0.407561944827027
"34","CD8 T","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,0.193178062363533,0.0644665961132903
"35","CD8 T","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.346161004504446,0.242034649719245,-0.0520631773926006
"36","CD8 T","CD8 T","IL23A","IL23A","IL12RB1","IL12RB1",0.355876832457465,-0.0821420239636699,0.136867404246898
"37","CD8 T","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.777212805172319,0.16845511424353,0.472833959707924
